carrera;especialidad;codigo;ramo;semestre;categoria
Ingeniería Civil Industrial;Innovación, Proyectos y Práctica;;Taller de Innovación y Emprendimiento II;4;Ámbito II: Evaluación de Proyectos de Inversión
Ingeniería Civil Industrial;Innovación, Proyectos y Práctica;;Taller de Innovación y Emprendimiento III;6;Ámbito II: Evaluación de Proyectos de Inversión
Ingeniería Civil Industrial;Innovación, Proyectos y Práctica;;Práctica II;8;Experiencias Integradoras
Ingeniería Civil Industrial;Innovación, Proyectos y Práctica;;Seminario de Licenciatura en Ciencias de la Ingeniería;8;Experiencias Integradoras
Ingeniería Civil Industrial;Innovación, Proyectos y Práctica;;Portafolio de Proyectos;9;Ámbito I: Sistemas Productivos y de Servicios
Ingeniería Civil Industrial;Innovación, Proyectos y Práctica;;Tópicos de Especialidad I;9;Ámbito I: Sistemas Productivos y de Servicios
Ingeniería Civil Industrial;Innovación, Proyectos y Práctica;;Proyecto de Título;10;Experiencias Integradoras
Ingeniería Civil Industrial;Innovación, Proyectos y Práctica;;Tópicos de Especialidad II;10;Ámbito I: Sistemas Productivos y de Servicios
Ingeniería Civil Industrial;Innovación, Proyectos y Práctica;;Tópicos de Especialidad III;10;Ámbito I: Sistemas Productivos y de Servicios
Ingeniería Civil Industrial;Inglés;;Inglés I;4;Educación General e Inglés
Ingeniería Civil Industrial;Inglés;;Inglés II;5;Educación General e Inglés
Ingeniería Civil Industrial;Inglés;;Inglés III;6;Educación General e Inglés
Ingeniería Civil Industrial;Inglés;;Inglés IV;7;Educación General e Inglés
Ingeniería Civil Industrial;Comunicación y Formación General;;Habilidades Comunicativas;2;Educación General e Inglés
Ingeniería Civil Industrial;Comunicación y Formación General;;Compliance & Accountability;3;Ámbito III: Transformación Digital
Ingeniería Civil Industrial;Comunicación y Formación General;;Responsabilidad Social;7;Educación General e Inglés
